price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,zipcode,lat,sqft_living15,month,renovated_age
0.28,6,3.0,2400,9373,2.0,0,0,3,7,0,98002,47.3262,2060,9,23
0.6475,4,1.75,2060,26036,1.0,0,0,4,8,900,98166,47.4444,2590,5,67
0.4,3,1.0,1460,43000,1.0,0,0,3,7,0,98166,47.4434,2250,8,62
0.235,3,1.0,1430,7599,1.5,0,0,4,6,420,98168,47.4783,1290,4,85
0.4025,4,2.0,1650,3504,1.0,0,0,3,7,890,98144,47.5803,1480,3,2
0.68,4,2.75,2220,5310,1.0,0,0,5,7,1050,98144,47.5801,1540,3,64
0.178,5,1.5,1990,18200,1.0,0,0,3,7,0,98178,47.4938,1860,2,55
0.487,4,2.5,2540,5001,2.0,0,0,3,9,0,98108,47.5423,2360,7,9
0.281,3,1.0,1340,21336,1.5,0,0,4,5,0,98032,47.4023,1340,11,69
0.239,4,2.0,1980,10585,1.5,0,0,2,6,0,98055,47.4836,1360,11,90
0.15,2,1.0,840,12750,1.0,0,0,3,6,0,98055,47.484,1480,10,89
0.2998,2,1.0,790,5240,1.0,0,0,4,6,0,98118,47.5303,1430,5,89
0.52,3,2.0,1410,2700,2.0,0,0,4,7,0,98122,47.6029,1750,8,112
0.465,3,2.25,1530,1245,2.0,0,0,3,9,480,98122,47.6018,1530,6,0
0.63,5,1.0,3020,4800,2.0,0,0,3,7,0,98122,47.6025,1350,12,113
0.411,2,2.0,1130,1148,2.0,0,0,3,9,330,98122,47.6023,1350,7,7
0.496,2,1.0,1420,4635,2.0,0,0,4,7,0,98115,47.68,1810,12,41
0.57,3,2.5,1530,3296,2.0,0,0,3,8,0,98007,47.6181,1530,7,16
0.546,3,2.5,1530,3464,2.0,0,0,3,8,0,98007,47.6179,1530,6,16
0.617,3,2.5,1910,4488,2.0,0,0,3,8,0,98007,47.6176,1530,9,16
0.635,3,2.5,3350,4007,2.0,0,0,3,8,800,98034,47.7277,2340,6,9
0.87275,3,2.5,2870,13695,2.0,0,0,3,10,0,98052,47.6944,2840,4,24
0.843,3,2.5,3130,8750,2.0,0,0,3,10,0,98052,47.6954,2860,3,24
0.8377,5,2.75,3010,12611,2.0,0,0,3,10,0,98052,47.696,2890,6,20
0.715,3,3.25,3060,9055,2.0,0,0,3,10,600,98052,47.6971,2990,11,20
0.795,3,3.5,3190,10223,2.0,0,0,3,10,630,98052,47.6968,3120,9,20
0.835,4,2.75,3130,13412,2.0,0,0,3,9,990,98052,47.6993,2260,9,21
0.755,4,2.5,2660,10452,2.0,0,0,3,9,0,98052,47.6972,2890,5,21
0.64,4,2.5,2341,9594,2.0,0,0,3,9,0,98052,47.6993,2850,6,17
0.75,4,2.5,3020,13122,2.0,0,0,3,9,480,98052,47.6989,3020,10,17
0.738,3,2.5,2620,9112,2.0,0,0,3,9,0,98052,47.6972,2620,12,19
0.81,4,2.75,3010,10450,2.0,0,0,3,9,0,98052,47.6979,3010,8,18
0.254,3,2.5,1850,4597,2.0,0,0,3,8,0,98042,47.3755,2210,5,11
0.13,3,1.0,1100,5100,1.0,0,0,4,7,0,98108,47.5231,1450,3,102
0.3195,4,2.75,2500,5100,1.5,0,0,4,7,1080,98108,47.523,1430,10,107
0.207,3,2.5,1520,2550,2.0,0,0,3,7,0,98108,47.5245,1460,9,9
0.205,2,1.75,1740,5100,1.0,0,0,3,6,1160,98108,47.5211,1440,3,100
0.295,3,1.5,1640,7222,2.0,0,0,4,7,0,98108,47.5215,1240,7,106
0.21995,3,1.5,1070,6601,1.0,0,0,3,6,0,98002,47.3115,1030,4,30
0.25,3,2.25,1640,4420,2.0,0,0,4,7,0,98002,47.311,1230,10,31
0.189,2,1.0,1200,9850,1.0,0,0,4,7,0,98002,47.3089,1060,12,93
0.2185,2,1.0,1600,8961,1.0,0,0,4,7,210,98002,47.3098,1502,3,66
0.25,4,1.0,1320,11212,1.0,0,0,5,6,0,98002,47.3098,1060,3,101
0.57,3,2.25,2010,6000,1.0,0,0,3,8,680,98052,47.6912,2080,5,39
0.515,4,2.25,2470,7800,1.0,0,0,3,8,1000,98052,47.6913,2050,10,39
0.55012,5,2.5,2620,8050,1.0,0,0,3,8,1100,98052,47.6919,2030,10,39
0.49,3,1.75,1470,9750,1.0,0,0,4,7,0,98052,47.6975,1800,3,37
0.539,3,1.75,1790,9860,1.0,0,0,4,7,380,98052,47.6989,1820,9,36
1.49,5,3.5,3620,7821,2.0,0,2,3,10,830,98040,47.5738,2690,9,4
1.04,5,2.75,3050,8904,1.0,0,0,4,8,1400,98040,47.5709,2920,3,59
0.343566,2,1.0,1100,4200,1.0,0,0,3,7,0,98136,47.5312,1240,6,60
0.59,3,2.0,3030,9374,1.0,0,1,4,7,930,98136,47.5289,1990,9,55
0.48,5,2.25,2240,5500,1.0,0,0,3,7,750,98136,47.5305,2010,4,56
0.5733,2,1.75,1290,6600,1.0,0,2,3,7,420,98136,47.531,2380,4,64
0.69995,3,3.25,2230,5460,1.0,0,1,4,8,800,98136,47.53,2070,3,38
0.44645,3,1.5,1480,7749,1.0,0,0,5,7,0,98126,47.5144,1140,8,54
0.325,2,1.0,1130,5070,1.0,0,0,4,7,0,98146,47.5141,860,2,60
0.2219,2,1.0,780,6727,1.0,0,0,3,6,0,98168,47.4733,1860,10,75
0.38,5,2.5,2130,8428,2.0,0,0,3,7,0,98168,47.4726,1500,4,2
0.078,2,1.0,780,16344,1.0,0,0,1,5,0,98168,47.4739,1700,5,72
0.17,2,1.0,1500,18540,1.0,0,0,3,8,0,98168,47.4727,1700,6,64
0.25,2,1.0,1400,19570,1.5,0,0,3,6,300,98168,47.4724,2250,3,86
