price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,zipcode,lat,sqft_living15,month,renovated_age
0.975,3,3.0,1850,5000,1.5,0,0,2,6,0,98107,47.6711,1360,4,115
0.452,2,2.5,1260,1131,3.0,0,0,3,8,0,98107,47.6715,1490,10,8
0.467,2,2.5,1140,1181,3.0,0,0,3,8,0,98107,47.6713,1220,7,7
0.344,1,1.5,760,779,3.0,0,0,3,8,0,98107,47.6715,1290,1,9
0.396,2,1.5,950,865,3.0,0,0,3,8,0,98107,47.6714,1290,4,9
0.425,2,2.5,1140,1182,3.0,0,0,3,8,0,98107,47.6713,1290,6,7
0.535,3,3.25,1430,1276,3.0,0,0,3,8,0,98107,47.6712,1430,1,8
0.371,2,1.5,1110,1189,3.0,0,0,3,8,0,98107,47.6711,1420,8,14
0.512,2,2.25,1170,1313,3.0,0,0,3,8,0,98107,47.6712,1310,7,7
0.635,3,1.75,1340,3900,2.0,0,0,5,7,0,98107,47.6711,1470,2,115
0.6075,3,3.25,1530,1612,3.0,0,0,3,8,0,98107,47.6706,1530,6,8
0.4375,3,2.5,1260,1125,3.0,0,0,3,8,0,98107,47.6706,1360,9,12
0.505,2,2.5,1430,1201,3.0,0,0,3,8,0,98107,47.6707,1430,10,5
0.5,3,3.25,1520,1500,3.0,0,0,3,7,0,98107,47.67,1520,1,15
0.44,3,2.5,1040,1032,3.0,0,0,3,7,0,98107,47.6673,1290,1,8
0.435,2,1.0,800,5000,1.0,0,0,3,7,0,98107,47.6751,1410,6,108
0.5147,3,3.25,1310,1072,2.0,0,0,3,8,250,98107,47.6744,1160,4,7
0.478,3,3.25,1430,1348,2.0,0,0,3,8,270,98107,47.6743,1160,11,6
0.42225,2,1.5,1280,1256,2.0,0,0,3,8,80,98107,47.6741,1390,4,17
0.469,3,3.25,1390,1278,2.0,0,0,3,8,250,98107,47.6735,1390,9,9
0.467,3,2.25,1270,1213,2.0,0,0,3,8,230,98107,47.6736,1410,5,9
0.608,3,2.75,2610,5000,2.0,0,0,4,7,900,98107,47.6729,1500,3,69
0.489,3,3.5,1500,1249,2.0,0,0,3,8,260,98107,47.6727,1440,6,10
0.425,2,2.5,1320,1329,2.0,0,0,3,8,140,98107,47.6728,1490,9,7
0.482,2,1.5,1300,1229,2.0,0,0,3,8,140,98107,47.6727,1430,4,15
0.47,3,3.5,1280,1257,2.0,0,0,3,8,240,98107,47.6721,1280,10,14
0.436,3,2.5,1460,1238,2.0,0,0,3,8,260,98107,47.6719,1280,9,6
0.65,3,1.75,1550,5000,1.0,0,0,3,7,300,98107,47.6722,1110,7,3
0.639,4,2.0,1940,5000,1.0,0,0,4,7,960,98107,47.6719,1940,10,104
0.429,2,1.0,1010,5000,1.0,0,0,2,7,0,98107,47.6715,1410,1,91
0.775,3,3.0,1820,4300,1.5,0,0,4,8,200,98107,47.6711,1440,3,32
0.52346,5,1.75,1890,5000,1.5,0,0,3,7,800,98107,47.6711,1610,6,108
0.5621,2,0.75,1440,3700,1.0,0,0,3,7,240,98107,47.6707,1440,6,100
0.625,3,1.75,2100,3264,1.5,0,0,5,7,750,98107,47.6702,1720,4,103
0.577,5,2.75,1940,5000,2.0,0,0,5,7,0,98107,47.6704,1940,9,63
0.64,4,2.0,2360,6000,2.0,0,0,4,8,0,98107,47.6702,1730,12,110
0.515,2,1.0,1050,5000,1.0,0,0,5,7,0,98107,47.6699,1340,7,107
0.595,4,2.5,1990,2175,2.0,0,0,3,8,310,98107,47.6696,1560,6,9
0.515,3,3.5,1360,1419,2.0,0,0,3,8,320,98107,47.6697,1560,6,7
0.519,4,2.5,1950,2617,1.5,0,0,4,7,700,98107,47.6696,1520,6,104
0.44,3,2.25,1230,1097,3.0,0,0,3,8,0,98107,47.6697,1420,10,5
0.649,3,2.0,1530,1442,3.0,0,0,3,9,0,98107,47.6692,1620,4,0
0.659,2,2.5,1450,1213,2.0,0,0,3,9,340,98107,47.6692,1620,4,0
0.499,3,1.5,1260,3135,1.0,0,0,4,7,480,98107,47.6693,1540,9,70
0.513,3,1.75,1710,5000,1.0,0,0,4,7,600,98107,47.6689,920,4,71
0.89,6,3.75,2770,5000,1.0,0,0,3,8,900,98107,47.669,1570,3,46
0.52995,2,2.5,1500,1174,2.0,0,0,3,8,360,98107,47.6689,1550,10,0
0.499,2,2.5,1320,1157,2.0,0,0,3,8,330,98107,47.6689,1550,8,0
0.49995,2,2.5,1320,1157,2.0,0,0,3,8,330,98107,47.6689,1550,9,0
0.529,2,2.5,1320,1395,2.0,0,0,3,8,330,98107,47.6689,1550,7,0
0.453,3,2.5,1650,1838,2.0,0,0,4,7,380,98107,47.6666,1550,12,23
0.63,3,3.0,1880,2200,2.0,0,0,3,8,360,98107,47.6666,1500,3,8
0.605,3,3.0,1760,2114,2.0,0,0,3,7,360,98107,47.6666,1300,4,7
0.43995,3,2.0,1230,1613,2.0,0,0,3,8,220,98107,47.6661,1610,12,11
0.395,2,1.0,870,3121,1.0,0,0,4,7,0,98107,47.6659,1570,12,91
0.58,3,2.5,1980,1873,2.0,0,0,3,7,510,98107,47.6659,1500,5,19
0.5,3,2.25,1530,1396,2.0,0,0,3,8,290,98107,47.666,1690,10,7
0.495,3,2.25,1280,1517,2.0,0,0,3,8,200,98107,47.6651,1280,11,6
0.539,3,2.25,1280,1187,2.0,0,0,3,8,200,98107,47.6651,1280,4,7
0.49,3,2.25,1280,1520,2.0,0,0,3,8,200,98107,47.6651,1280,8,6
0.402,2,1.0,620,2475,1.0,0,0,5,6,0,98107,47.6655,1290,6,103
0.57,3,3.25,1570,1777,2.0,0,0,3,8,310,98107,47.6655,1000,10,7
0.565,4,3.0,2020,4300,1.5,0,0,3,6,0,98107,47.6653,1290,3,115
0.612,4,2.5,2680,3626,1.5,0,3,4,7,1000,98107,47.6727,1950,8,86
0.63,5,2.0,1900,5000,1.0,0,2,3,8,180,98107,47.6735,1770,7,57
0.715,6,2.75,3400,5000,2.0,0,2,3,8,540,98107,47.6728,1800,1,38
0.6,2,2.0,1270,5000,1.0,0,0,3,6,0,98107,47.6729,2190,4,71
0.529,3,1.0,1210,3328,1.5,0,0,4,7,0,98107,47.6729,1640,5,90
0.9,8,4.0,4020,7500,1.0,0,0,3,8,2010,98107,47.6732,1560,10,46
0.55,2,1.0,1420,3100,1.0,0,0,3,7,600,98107,47.6737,1420,5,91
0.435,3,2.0,1380,2500,1.0,0,0,3,7,630,98107,47.6753,1630,8,28
0.49995,3,2.0,1360,2500,1.0,0,0,3,7,630,98107,47.6753,1630,12,28
0.49,2,1.0,1840,3300,1.5,0,0,4,6,710,98107,47.6757,1320,5,104
0.51795,3,2.0,1410,5000,1.0,0,0,5,7,670,98107,47.6752,1830,10,106
0.45,3,1.0,1360,3737,1.5,0,0,4,6,0,98107,47.6751,1820,10,104
0.652,3,2.0,2130,5000,1.5,0,0,5,7,800,98107,47.6746,2010,10,89
0.585,4,1.75,2500,7000,1.0,0,0,3,7,1250,98199,47.648,1680,3,68
0.64,3,2.5,1690,1553,2.5,0,0,3,8,0,98199,47.6443,1910,6,7
0.585,3,2.5,1910,1501,2.5,0,0,3,8,380,98199,47.6441,1760,6,7
0.601,3,2.5,1740,1251,2.0,0,0,3,9,560,98199,47.644,1740,10,2
0.473,2,1.0,940,4000,1.0,0,0,3,6,220,98199,47.6488,1180,2,73
0.5423,3,2.25,1580,1487,3.0,0,0,3,9,0,98199,47.6514,1600,2,2
0.4875,3,2.5,1810,1988,2.0,0,0,3,7,460,98199,47.6513,1600,3,18
0.5035,3,2.5,1810,1750,2.0,0,0,3,7,460,98199,47.6513,1640,4,18
0.5,2,2.25,1570,1269,2.0,0,0,3,9,290,98199,47.6514,1570,8,-1
0.415,2,1.0,1470,6000,1.0,0,0,3,6,570,98199,47.6527,1670,3,71
0.494,3,3.5,1570,1486,2.5,0,0,3,8,240,98199,47.652,1610,4,15
0.43999,3,2.5,1930,1348,2.0,0,0,3,8,630,98199,47.6513,1630,7,9
0.535,3,1.0,1580,6300,1.0,0,0,3,7,400,98199,47.6505,1560,6,89
0.39,3,3.0,1490,2944,2.0,0,0,3,7,530,98199,47.6506,1590,11,21
0.45,3,3.5,1790,1288,3.0,0,0,3,8,400,98199,47.651,1560,3,15
0.435,3,2.25,1230,1238,2.0,0,0,3,8,150,98199,47.6519,1230,6,5
0.39995,3,2.5,1230,922,2.0,0,0,3,8,150,98199,47.6518,1230,11,5
0.453,3,2.5,1510,1618,2.5,0,0,3,8,180,98199,47.6515,1350,8,3
0.525,3,1.75,1560,6000,1.0,0,0,3,6,780,98199,47.6501,1560,10,70
0.57,3,3.25,1550,1280,2.0,0,0,3,9,330,98199,47.6493,1550,4,2
0.6075,5,1.75,2220,6000,1.5,0,0,3,7,800,98199,47.648,1550,5,91
0.375,2,1.0,760,6000,1.0,0,0,3,6,0,98199,47.646,1360,4,73
0.345,3,2.0,1430,4200,1.0,0,0,4,7,600,98199,47.6462,1540,2,107
0.615,3,2.5,1490,1410,2.0,0,0,3,10,190,98199,47.6478,1490,4,7
0.671,4,2.75,1890,1475,2.0,0,0,3,9,690,98199,47.6472,1650,4,0
0.455,2,2.0,1350,1209,3.0,0,0,3,8,0,98199,47.649,1310,11,1
0.585,3,2.5,2160,1250,3.0,0,0,3,8,330,98119,47.6515,1870,12,4
0.53,3,2.5,1410,1250,2.0,0,0,3,8,270,98119,47.6515,1720,4,5
0.65995,3,2.5,1610,1246,2.0,0,1,3,9,530,98119,47.6423,1610,10,0
0.62995,3,2.5,1680,1620,2.0,0,0,3,9,560,98119,47.6425,1610,3,1
0.62995,3,2.5,1680,1683,2.0,0,0,3,9,560,98119,47.6425,1610,3,1
0.62995,3,2.5,1680,1683,2.0,0,0,3,9,560,98119,47.6424,1610,3,1
0.45,3,2.5,1530,762,2.0,0,0,3,8,480,98119,47.642,1610,7,7
0.49995,3,2.5,1520,2208,2.0,0,0,3,8,480,98119,47.6419,1610,6,7
0.499,3,2.5,1540,1326,3.0,0,0,3,8,150,98119,47.6457,1680,7,19
0.64995,3,2.5,1500,1375,2.0,0,0,3,9,300,98119,47.6451,1680,6,0
0.608,3,2.5,1760,1472,3.0,0,0,3,8,120,98119,47.6473,1760,10,8
0.56,3,1.75,1930,6000,1.0,0,0,3,8,800,98119,47.6516,1870,5,59
0.735,4,2.0,1640,6000,1.5,0,0,4,9,0,98119,47.6505,1900,11,103
0.612125,2,1.5,1670,6000,1.0,0,0,3,7,580,98119,47.6517,1670,2,65
0.497,3,3.0,2060,1850,2.0,0,0,3,8,660,98119,47.6543,1910,9,7
1.3,5,1.0,1670,6400,1.5,0,0,3,8,0,98119,47.6542,1910,7,95
0.60985,2,2.75,1910,1369,3.0,0,0,3,9,0,98119,47.6544,1910,12,12
0.45,2,1.0,1180,6000,1.0,0,0,3,7,0,98119,47.6531,1600,11,104
0.620047,4,1.75,1760,6000,1.0,0,0,3,7,880,98119,47.6508,2040,2,69
0.55,2,0.75,1040,4000,1.0,0,0,3,7,110,98119,47.6489,1700,9,105
0.952,3,3.5,2760,4500,2.0,0,0,3,9,640,98119,47.6529,1950,12,10
1.14,4,3.25,2960,4296,2.0,0,0,3,9,770,98119,47.6526,2150,3,8
0.5525,3,1.75,2040,5775,1.0,0,0,3,7,630,98199,47.6592,1360,3,57
0.47,3,1.0,1170,4400,1.0,0,0,3,7,300,98199,47.6584,1240,8,63
0.417,3,2.5,1300,877,2.0,0,0,3,7,240,98199,47.6591,1320,8,6
0.45,4,1.75,1520,5250,1.0,0,0,3,6,0,98199,47.6581,1530,8,65
0.42,3,1.5,1050,6615,1.0,0,0,4,6,250,98199,47.6578,1530,10,64
0.41,3,2.0,1700,4250,1.0,0,0,3,6,810,98199,47.6542,1440,5,70
0.395,1,1.0,790,3000,1.0,0,0,3,6,0,98199,47.6544,1110,3,62
0.377,2,1.5,1000,1251,2.0,0,0,3,7,70,98199,47.6529,1420,12,8
0.386,3,1.5,1270,1318,2.0,0,0,3,7,190,98199,47.6526,1360,6,10
0.3965,3,1.5,1360,1488,2.0,0,0,3,7,240,98199,47.6526,1360,8,11
0.385,3,3.25,1320,1327,2.0,0,0,3,8,280,98199,47.6506,1440,5,6
0.395,3,3.5,1450,1263,2.0,0,0,3,8,290,98199,47.6508,1390,10,7
0.529999,3,2.5,1710,1664,2.0,0,0,5,8,410,98199,47.6456,1470,6,11
0.8,4,3.75,2690,4000,2.0,0,3,4,9,570,98119,47.6418,2830,6,25
0.825,2,1.75,2050,4000,1.5,0,2,3,8,0,98119,47.6415,1940,1,36
0.575,3,1.75,2130,6500,1.0,0,2,3,8,960,98199,47.6424,2020,5,60
0.95,4,3.5,4030,4200,3.0,0,0,3,9,0,98199,47.6416,2130,11,22
0.53,2,1.0,840,3400,1.0,0,2,4,7,0,98119,47.6403,2000,6,90
0.85,3,1.0,2280,4600,1.0,0,2,3,8,1030,98119,47.6378,1910,5,79
0.525,2,2.5,1160,1458,2.0,0,0,3,8,120,98119,47.6384,1650,7,2
0.472,3,2.5,1180,1262,3.0,0,0,3,8,0,98119,47.6381,1180,6,4
0.447,2,1.0,980,1600,2.0,0,0,3,8,0,98119,47.638,1180,7,4
0.438,2,1.0,980,1179,2.0,0,0,3,8,0,98119,47.6381,1190,5,4
0.455,3,2.5,1180,932,3.0,0,0,3,8,0,98119,47.638,1180,10,4
0.37,2,1.5,1010,2102,2.0,0,0,3,7,0,98119,47.6374,1480,8,30
0.7175,3,1.0,2090,4000,1.5,0,2,3,8,200,98199,47.6393,2090,12,83
0.475,2,2.25,1060,925,2.0,0,0,3,8,80,98199,47.6386,1020,4,9
0.545,3,2.0,1550,4000,1.0,0,0,3,7,610,98199,47.6379,1880,4,60
0.64,2,1.0,1360,5000,1.0,0,0,3,7,160,98199,47.6372,1540,1,79
0.625,3,2.0,1880,4000,1.0,0,2,3,8,600,98199,47.6375,1920,7,64
0.97,4,1.75,4060,4000,2.0,0,3,3,10,1170,98199,47.6375,1860,11,19
0.824,7,4.25,3670,4000,2.0,0,1,3,8,870,98199,47.6375,2010,6,50
0.465,2,1.5,1220,1120,2.5,0,0,3,8,110,98199,47.6374,2010,8,6
0.5095,2,2.5,1590,1485,2.0,0,0,3,8,290,98199,47.6375,1880,11,20
0.46,3,1.75,1300,4000,1.0,0,0,3,7,400,98199,47.6368,1750,9,61
0.7,4,1.5,2470,6000,1.5,0,0,3,7,990,98199,47.6365,2140,3,75
0.68,3,1.75,2140,3584,1.0,0,0,3,7,1070,98199,47.636,1620,7,62
0.52,2,1.0,1120,6141,1.0,0,0,3,7,220,98117,47.6924,1500,4,69
0.4075,3,3.5,1522,1465,2.0,0,0,3,8,274,98117,47.6922,1522,11,8
0.665,4,2.5,2800,5900,1.0,0,0,3,8,1140,98115,47.6809,2580,5,51
0.375,4,2.5,1900,9428,2.0,0,0,3,8,0,98028,47.7628,1830,9,36
